near_duplicate_group,near_duplicate_group_size,near_duplicate_sources,count
ahash-00001,2,stanford-car-dataset-by-classes-folder|vehicle-type-10-competition,2
ahash-00002,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00003,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00004,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00005,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00006,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,2
ahash-00007,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,2
ahash-00008,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00009,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,2
ahash-00010,2,cars-body-type-cropped|stanford-car-dataset-by-classes-folder,2
ahash-00011,2,cars-body-type-cropped|vehicle-classification-dataset,2
ahash-00012,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,2
ahash-00013,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,7
ahash-00014,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,2
ahash-00015,2,stanford-car-dataset-by-classes-folder|vehicle-type-10-competition,2
ahash-00016,2,cbsc|stanford-car-dataset-by-classes-folder,2
ahash-00017,3,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,3
ahash-00018,2,stanford-car-dataset-by-classes-folder|vehicle-type-10-competition,2
ahash-00019,2,cbsc|stanford-car-dataset-by-classes-folder,3
ahash-00020,16,f1-image-classification-updated|stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,56
ahash-00021,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,2
ahash-00022,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,8
ahash-00023,2,f1-image-classification-updated|vehicle-classification-dataset,2
ahash-00024,5,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,6
ahash-00025,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,3
ahash-00026,3,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,6
ahash-00027,2,cbsc|stanford-car-dataset-by-classes-folder,3
ahash-00028,3,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,4
ahash-00029,2,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,6
ahash-00030,3,f1-image-classification-updated|stanford-car-dataset-by-classes-folder,3
ahash-00031,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,3
ahash-00032,4,f1-image-classification-updated|stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,7
ahash-00033,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,4
ahash-00034,5,f1-image-classification-updated|stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,18
ahash-00035,2,f1-image-classification-updated|vehicle-classification-dataset,6
ahash-00036,2,stanford-car-dataset-by-classes-folder|vehicle-classification-dataset,4
ahash-00037,4,cbsc|stanford-car-dataset-by-classes-folder,7
ahash-00038,2,f1-image-classification-updated|vehicle-classification-dataset,3
