source_id,raw_label,mapping_status,review_or_exclusion_reason,normalized_label,count
DrBimmer-vehicle-classification,Barge,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Bicycle,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Boat,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Bus,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Car,review,ambiguous_car,,200
DrBimmer-vehicle-classification,Helicopter,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Motorcycle,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Tank,excluded,non_target_or_unknown_label,,200
DrBimmer-vehicle-classification,Taxi,review,ambiguous_taxi,,200
DrBimmer-vehicle-classification,Truck,excluded,generic_truck_not_mapped_to_pickup,,200
DrBimmer-vehicle-classification,Van,accepted,explicit_van_or_minivan_label,VAN,200
DrBimmer-vehicle-classification,Segway,excluded,non_target_or_unknown_label,,153
DrBimmer-vehicle-classification,Ambulance,excluded,non_target_or_unknown_label,,132
DrBimmer-vehicle-classification,Snowmobile,excluded,non_target_or_unknown_label,,123
DrBimmer-vehicle-classification,Limousine,review,ambiguous_limousine,,74
DrBimmer-vehicle-classification,Cart,review,ambiguous_car,,51
cars-body-type-cropped,Convertible,review,ambiguous_convertible,,1277
cars-body-type-cropped,SUV,accepted,explicit_suv_label,SUV,1246
cars-body-type-cropped,Pick-Up,accepted,explicit_pickup_label,PICK UP,1086
cars-body-type-cropped,VAN,accepted,explicit_van_or_minivan_label,VAN,1050
cars-body-type-cropped,Sedan,accepted,explicit_sedan_label,SEDAN,1008
cars-body-type-cropped,Hatchback,accepted,explicit_hatchback_label,HATCHBACK,976
cars-body-type-cropped,Coupe,review,ambiguous_coupe,,906
cbsc,SUV,accepted,explicit_suv_label,SUV,95
cbsc,limousine,review,ambiguous_limousine,,92
cbsc,sedan,accepted,explicit_sedan_label,SEDAN,86
cbsc,sports,review,ambiguous_sports,,51
cbsc,hatchback,accepted,explicit_hatchback_label,HATCHBACK,50
cbsc,van,accepted,explicit_van_or_minivan_label,VAN,48
cbsc,pickup,accepted,explicit_pickup_label,PICK UP,46
cbsc,bus,excluded,non_target_or_unknown_label,,44
cbsc,truck,excluded,generic_truck_not_mapped_to_pickup,,39
cbsc,cabriolet,review,ambiguous_cabriolet,,34
cbsc,SUV,excluded,duplicate_image_hash,,4
cbsc,limousine,excluded,duplicate_image_hash,,3
cbsc,pickup,excluded,duplicate_image_hash,,1
cbsc,sedan,excluded,duplicate_image_hash,,1
cbsc,truck,excluded,duplicate_image_hash,,1
f1-image-classification-updated,Mercedes F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,1477
f1-image-classification-updated,Ferrari F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,866
f1-image-classification-updated,McLaren F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,845
f1-image-classification-updated,Red Bull Racing F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,823
f1-image-classification-updated,Aston Martin F1 Car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,448
f1-image-classification-updated,Lotus Formula 1 Car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,360
f1-image-classification-updated,Williams F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,328
f1-image-classification-updated,Renault F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,306
f1-image-classification-updated,Racing Point F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,270
f1-image-classification-updated,AlphaTauri F1 car,accepted,formula_one_source_or_label,OPEN WHEEL / F1,123
f1-image-classification-updated,Mercedes F1 car,excluded,duplicate_image_hash,,13
