source_id,mapping_status,reason,count
DrBimmer-vehicle-classification,accepted,explicit_van_or_minivan_label,200
DrBimmer-vehicle-classification,excluded,generic_truck_not_mapped_to_pickup,200
DrBimmer-vehicle-classification,excluded,non_target_or_unknown_label,1808
DrBimmer-vehicle-classification,review,ambiguous_car,251
DrBimmer-vehicle-classification,review,ambiguous_limousine,74
DrBimmer-vehicle-classification,review,ambiguous_taxi,200
cars-body-type-cropped,accepted,approved_micro_model:FIAT 500,4
cars-body-type-cropped,accepted,explicit_hatchback_label,976
cars-body-type-cropped,accepted,explicit_pickup_label,1086
cars-body-type-cropped,accepted,explicit_sedan_label,1008
cars-body-type-cropped,accepted,explicit_suv_label,1246
cars-body-type-cropped,accepted,explicit_van_or_minivan_label,1050
cars-body-type-cropped,review,ambiguous_convertible,1273
cars-body-type-cropped,review,ambiguous_coupe,906
cbsc,accepted,explicit_hatchback_label,50
cbsc,accepted,explicit_pickup_label,46
cbsc,accepted,explicit_sedan_label,86
cbsc,accepted,explicit_suv_label,95
cbsc,accepted,explicit_van_or_minivan_label,48
cbsc,excluded,duplicate_image_hash,10
cbsc,excluded,generic_truck_not_mapped_to_pickup,39
cbsc,excluded,non_target_or_unknown_label,44
cbsc,review,ambiguous_cabriolet,34
cbsc,review,ambiguous_limousine,92
cbsc,review,ambiguous_sports,51
f1-image-classification-updated,accepted,formula_one_source_or_label,5846
f1-image-classification-updated,excluded,duplicate_image_hash,25
stanford-car-dataset-by-classes-folder,accepted,approved_micro_model:FIAT 500,122
stanford-car-dataset-by-classes-folder,accepted,approved_micro_model:Smart Fortwo,80
stanford-car-dataset-by-classes-folder,accepted,explicit_hatchback_label,1103
stanford-car-dataset-by-classes-folder,accepted,explicit_pickup_label,173
stanford-car-dataset-by-classes-folder,accepted,explicit_sedan_label,3778
stanford-car-dataset-by-classes-folder,accepted,explicit_suv_label,3016
stanford-car-dataset-by-classes-folder,accepted,explicit_van_or_minivan_label,994
stanford-car-dataset-by-classes-folder,accepted,explicit_wagon_label,572
stanford-car-dataset-by-classes-folder,accepted,pickup_cab_style_label,1090
stanford-car-dataset-by-classes-folder,excluded,duplicate_image_hash,39
stanford-car-dataset-by-classes-folder,excluded,non_target_or_unknown_label,1154
stanford-car-dataset-by-classes-folder,review,ambiguous_convertible,1848
stanford-car-dataset-by-classes-folder,review,ambiguous_coupe,2216
vehicle-classification-dataset,accepted,explicit_hatchback_label,433
vehicle-classification-dataset,accepted,explicit_pickup_label,204
vehicle-classification-dataset,accepted,explicit_sedan_label,780
vehicle-classification-dataset,accepted,explicit_suv_label,426
vehicle-classification-dataset,excluded,duplicate_image_hash,447
vehicle-classification-dataset,excluded,generic_truck_not_mapped_to_pickup,837
vehicle-classification-dataset,excluded,non_target_or_unknown_label,3001
vehicle-classification-dataset,review,ambiguous_mpv,452
vehicle-images-dataset,accepted,explicit_sedan_label,2619
vehicle-images-dataset,accepted,explicit_suv_label,1826
vehicle-images-dataset,accepted,explicit_van_or_minivan_label,2167
vehicle-images-dataset,excluded,generic_truck_not_mapped_to_pickup,1727
vehicle-images-dataset,review,ambiguous_city_car,4657
vehicle-images-dataset,review,ambiguous_multi_purpose_vehicle,2649
vehicle-type-10-competition,accepted,explicit_hatchback_label,89
vehicle-type-10-competition,accepted,explicit_pickup_label,80
vehicle-type-10-competition,accepted,explicit_sedan_label,80
vehicle-type-10-competition,accepted,explicit_suv_label,80
vehicle-type-10-competition,accepted,explicit_van_or_minivan_label,80
vehicle-type-10-competition,accepted,explicit_wagon_label,79
vehicle-type-10-competition,excluded,generic_truck_not_mapped_to_pickup,78
vehicle-type-10-competition,excluded,missing_raw_label,151
vehicle-type-10-competition,excluded,non_target_or_unknown_label,82
vehicle-type-10-competition,review,ambiguous_convertible,101
vehicle-type-10-competition,review,ambiguous_coupe,100
